lower1,upper1,lower2,upper2,lower3,upper3,opt1,opt2,opt3,testurl,video,start_img,goal_img
inefficient,efficient,awkward,elegant,rough,smooth,Red,Green,Yellow,muGtZHG-qM4,//www.youtube.com/embed/ywg2lbEDRdk,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_38_40,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_38_40
inefficient,efficient,awkward,elegant,rough,smooth,Red,Yellow,Green,gTy_nWfR5AM,//www.youtube.com/embed/kNImX34xGlM,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_38_41,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_38_41
inefficient,efficient,awkward,elegant,rough,smooth,Red,Green,Yellow,m9DXqUFDj4s,//www.youtube.com/embed/yo47Wg-43iA,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_38_42,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_38_42
inefficient,efficient,awkward,elegant,rough,smooth,Yellow,Red,Green,FgEz58e_OFM,//www.youtube.com/embed/zba9snrwivQ,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_38_43,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_38_43
inefficient,efficient,awkward,elegant,rough,smooth,Yellow,Green,Red,Bk7C6sNLLmo,//www.youtube.com/embed/fvNdPGMSAkc,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_38_44,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_38_44
inefficient,efficient,awkward,elegant,rough,smooth,Green,Red,Yellow,53J8ozTe02I,//www.youtube.com/embed/XHKtT-_IKXM,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_38_45,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_38_45
inefficient,efficient,awkward,elegant,rough,smooth,Red,Yellow,Green,dWciRDwMwvw,//www.youtube.com/embed/Q9KFer6XUZ8,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_38_46,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_38_46
inefficient,efficient,awkward,elegant,rough,smooth,Red,Green,Yellow,tRkt7z0ZLt0,//www.youtube.com/embed/EpgrjVE9q68,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_38_47,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_38_47
inefficient,efficient,awkward,elegant,rough,smooth,Yellow,Red,Green,jt4ebTigrVA,//www.youtube.com/embed/gq8lbrHBlk0,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_38_48,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_38_48
inefficient,efficient,awkward,elegant,rough,smooth,Red,Green,Yellow,2axQHVILUHY,//www.youtube.com/embed/YIGkNbJBNoc,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_38_49,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_38_49
inefficient,efficient,awkward,elegant,rough,smooth,Red,Green,Yellow,tqYf6MTJIMc,//www.youtube.com/embed/Y4F6Z7XDcvg,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_38_50,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_38_50
inefficient,efficient,awkward,elegant,rough,smooth,Yellow,Green,Red,T8QI5XaWgv8,//www.youtube.com/embed/gMcOJlcKbwE,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_38_51,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_38_51
inefficient,efficient,awkward,elegant,rough,smooth,Green,Yellow,Red,dWciRDwMwvw,//www.youtube.com/embed/DqTFbKSMj4k,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_38_52,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_38_52
inefficient,efficient,awkward,elegant,rough,smooth,Yellow,Red,Green,T8QI5XaWgv8,//www.youtube.com/embed/rsgVi1h-REU,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_38_53,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_38_53
inefficient,efficient,awkward,elegant,rough,smooth,Green,Yellow,Red,muGtZHG-qM4,//www.youtube.com/embed/dA60SM3BTp4,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_38_54,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_38_54
inefficient,efficient,awkward,elegant,rough,smooth,Red,Yellow,Green,jt4ebTigrVA,//www.youtube.com/embed/7lNf-qvsGb8,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_38_55,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_38_55
inefficient,efficient,awkward,elegant,rough,smooth,Red,Yellow,Green,gTy_nWfR5AM,//www.youtube.com/embed/_42KB11RYDM,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_38_56,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_38_56
inefficient,efficient,awkward,elegant,rough,smooth,Red,Yellow,Green,53J8ozTe02I,//www.youtube.com/embed/TVv9ObLSVno,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_38_57,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_38_57
inefficient,efficient,awkward,elegant,rough,smooth,Yellow,Red,Green,tRkt7z0ZLt0,//www.youtube.com/embed/N1DBCn3mTjg,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_38_58,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_38_58
inefficient,efficient,awkward,elegant,rough,smooth,Red,Yellow,Green,Bk7C6sNLLmo,//www.youtube.com/embed/20JLLLNDK6A,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_38_59,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_38_59
inefficient,efficient,awkward,elegant,rough,smooth,Yellow,Green,Red,FgEz58e_OFM,//www.youtube.com/embed/rcvm-UERshg,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_00,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_00
inefficient,efficient,awkward,elegant,rough,smooth,Green,Yellow,Red,tqYf6MTJIMc,//www.youtube.com/embed/z8KFm1jQ5Dw,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_01,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_01
inefficient,efficient,awkward,elegant,rough,smooth,Green,Yellow,Red,2axQHVILUHY,//www.youtube.com/embed/egAkSBskKAE,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_03,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_03
inefficient,efficient,awkward,elegant,rough,smooth,Yellow,Red,Green,m9DXqUFDj4s,//www.youtube.com/embed/kqE4EnBNM1Q,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_04,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_04
inefficient,efficient,awkward,elegant,rough,smooth,Green,Red,Yellow,2axQHVILUHY,//www.youtube.com/embed/mQAW6rUUXsQ,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_05,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_05
inefficient,efficient,awkward,elegant,rough,smooth,Yellow,Green,Red,Bk7C6sNLLmo,//www.youtube.com/embed/IOSQruTWLjY,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_06,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_06
inefficient,efficient,awkward,elegant,rough,smooth,Red,Yellow,Green,muGtZHG-qM4,//www.youtube.com/embed/-2waSFH0axQ,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_07,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_07
inefficient,efficient,awkward,elegant,rough,smooth,Yellow,Red,Green,m9DXqUFDj4s,//www.youtube.com/embed/vDOTCcEdjJg,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_08,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_08
inefficient,efficient,awkward,elegant,rough,smooth,Yellow,Red,Green,FgEz58e_OFM,//www.youtube.com/embed/TvDwbB-NIiA,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_09,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_09
inefficient,efficient,awkward,elegant,rough,smooth,Green,Red,Yellow,tRkt7z0ZLt0,//www.youtube.com/embed/GcafoheCmyg,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_10,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_10
inefficient,efficient,awkward,elegant,rough,smooth,Red,Green,Yellow,53J8ozTe02I,//www.youtube.com/embed/vd4PTPjkq9g,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_11,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_11
inefficient,efficient,awkward,elegant,rough,smooth,Yellow,Red,Green,tqYf6MTJIMc,//www.youtube.com/embed/XywZg1ijpDU,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_12,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_12
inefficient,efficient,awkward,elegant,rough,smooth,Yellow,Red,Green,T8QI5XaWgv8,//www.youtube.com/embed/H_efc6vJVM8,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_13,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_13
inefficient,efficient,awkward,elegant,rough,smooth,Red,Green,Yellow,gTy_nWfR5AM,//www.youtube.com/embed/PaJVc0fO8f4,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_14,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_14
inefficient,efficient,awkward,elegant,rough,smooth,Yellow,Red,Green,dWciRDwMwvw,//www.youtube.com/embed/3dBNLQKlyUk,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_15,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_15
inefficient,efficient,awkward,elegant,rough,smooth,Green,Yellow,Red,jt4ebTigrVA,//www.youtube.com/embed/fVFsv7uBux4,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_16,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_16
inefficient,efficient,awkward,elegant,rough,smooth,Green,Red,Yellow,53J8ozTe02I,//www.youtube.com/embed/-ZxivkfFkYA,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_17,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_17
inefficient,efficient,awkward,elegant,rough,smooth,Yellow,Green,Red,T8QI5XaWgv8,//www.youtube.com/embed/vp9QSAX0Q9w,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_18,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_18
inefficient,efficient,awkward,elegant,rough,smooth,Green,Red,Yellow,tqYf6MTJIMc,//www.youtube.com/embed/Am201u4Ru5c,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_19,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_19
inefficient,efficient,awkward,elegant,rough,smooth,Red,Yellow,Green,tRkt7z0ZLt0,//www.youtube.com/embed/xnnGiKtl4us,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_20,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_20
inefficient,efficient,awkward,elegant,rough,smooth,Yellow,Red,Green,FgEz58e_OFM,//www.youtube.com/embed/xPH5ut3lPYs,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_21,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_21
inefficient,efficient,awkward,elegant,rough,smooth,Green,Red,Yellow,jt4ebTigrVA,//www.youtube.com/embed/9sIZEtelkA4,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_22,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_22
inefficient,efficient,awkward,elegant,rough,smooth,Green,Yellow,Red,muGtZHG-qM4,//www.youtube.com/embed/uoyDa8pqSxU,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_23,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_23
inefficient,efficient,awkward,elegant,rough,smooth,Green,Red,Yellow,dWciRDwMwvw,//www.youtube.com/embed/7zk8K4YgZto,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_24,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_24
inefficient,efficient,awkward,elegant,rough,smooth,Yellow,Red,Green,2axQHVILUHY,//www.youtube.com/embed/xvz9LplSZ9w,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_25,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_25
inefficient,efficient,awkward,elegant,rough,smooth,Green,Red,Yellow,m9DXqUFDj4s,//www.youtube.com/embed/Cxqyop66foo,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_26,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_26
inefficient,efficient,awkward,elegant,rough,smooth,Yellow,Red,Green,gTy_nWfR5AM,//www.youtube.com/embed/GkhKIkFQZfE,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_27,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_27
inefficient,efficient,awkward,elegant,rough,smooth,Green,Red,Yellow,Bk7C6sNLLmo,//www.youtube.com/embed/robHwWU6zXA,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_28,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_28
inefficient,efficient,awkward,elegant,rough,smooth,Yellow,Red,Green,T8QI5XaWgv8,//www.youtube.com/embed/t7IBHY1VHyA,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_29,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_29
inefficient,efficient,awkward,elegant,rough,smooth,Red,Yellow,Green,muGtZHG-qM4,//www.youtube.com/embed/G59jaDqGKqc,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_30,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_30
inefficient,efficient,awkward,elegant,rough,smooth,Red,Yellow,Green,tqYf6MTJIMc,//www.youtube.com/embed/Nw4veSupc2Y,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_31,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_31
